sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
8,13461,LH2,0,750,5.9826054339,0.0002297098025013,0.03254,0.0291978,0.960978,0.960982
8,13463,LH2,0,750,5.982669727272726,0.0003486013420615,0.034114,0.030612,0.96305,0.963054
8,13464,LH2,0,750,5.982674012934782,0.0003311351566106,0.0334977,0.0300583,0.962415,0.96242
8,13465,LH2,0,750,5.9827886682130575,0.0003667367918432,0.0313917,0.0281927,0.960425,0.960429
8,13466,LH2,0,750,5.982689540503875,0.0003016193771599,0.0317777,0.0285182,0.959336,0.95934
8,13482,LH2,1470,750,5.982943870452674,0.0005361657783433,0.0083608,0.00752672,0.982035,0.982038
8,13483,LH2,1470,750,5.982579414820628,0.0003126563462288,0.0281238,0.0252414,0.982146,0.982148
8,13484,LH2,1470,750,5.982679601639345,0.0004216641263204,0.0241525,0.0216758,0.982521,0.982525
8,13485,LH2,1470,750,5.983015849268292,0.0005068415050904,0.0112601,0.0101412,0.981689,0.981692
8,13486,LH2,1470,750,5.982659154795698,0.0004695164099896,0.025098,0.0225405,0.982194,0.982195
8,13487,LH2,1470,750,5.98252207039823,0.0003060645781363,0.0307201,0.0275672,0.981647,0.98165
8,13488,LH2,1470,750,5.982476375790697,0.0002918472144886,0.0281263,0.0252415,0.981509,0.981511
8,13489,LH2,1470,750,5.982703865812499,0.0004951268856277,0.0242561,0.0217904,0.981543,0.981545
8,13490,LH2,1470,750,5.9827582479288015,0.0005142728484428,0.028627,0.0257141,0.982355,0.982357
8,13537,LH2,2100,750,5.98355740917591,0.0005289650016748,0.035518,0.0318802,0.9693,0.969303
8,13538,LH2,2100,750,5.982995437632932,0.0010781778981468,0.0330839,0.0297049,0.968529,0.968532
8,13539,LH2,2100,750,5.982745354292453,0.0005342708301495,0.0357776,0.0321627,0.970097,0.9701
8,13540,LH2,2100,750,5.982416978044692,0.0002847368267729,0.0351325,0.0315247,0.968182,0.968185
8,13541,LH2,2100,750,5.982395239520295,0.0003046939390107,0.0352147,0.0315946,0.968431,0.968434
8,13542,LH2,2100,750,5.982370169347826,0.000282915081465,0.0356992,0.0320255,0.968707,0.968709
8,13543,LH2,2100,750,5.982428229283387,0.0003959840582811,0.0183198,0.0164379,0.969707,0.969711
8,13573,LH2,1470,750,5.982484139695512,0.0003815956304856,0.0375954,0.0337481,0.979289,0.979291
8,13574,LH2,1470,750,5.982531687617554,0.0002831497272044,0.0400819,0.0359635,0.979716,0.979719
8,13575,LH2,1470,750,5.982597920290859,0.0003887862801769,0.0410718,0.0368658,0.979691,0.979693
8,13576,LH2,1470,750,5.982668073018335,0.0003811911089934,0.039574,0.0355275,0.979604,0.979606
8,13577,LH2,1470,750,5.982578472612902,0.0002398742109507,0.0401753,0.036044,0.97938,0.979382
8,13578,LH2,1470,750,5.982567136822289,0.0003188679641822,0.040344,0.0362032,0.97982,0.979822
8,13580,LH2,1050,750,5.982448266659876,0.0001250827458913,0.0339678,0.0304745,0.969123,0.969127
9,13656,LH2,1470,750,4.026856636599999,9.188143429949513e-05,0.0135922,0.0122799,0.977851,0.977854
9,13657,LH2,1470,750,4.026776222657808,0.0001389515693698,0.00535322,0.00484809,0.977359,0.977361
9,13663,LH2,1470,750,4.026821213238866,0.0001396009056494,0.0328186,0.0294374,0.962082,0.962086
9,13676,LH2,1470,750,4.026780631066351,6.450913825052732e-05,0.0334253,0.0299769,0.959021,0.959024
9,13683,LH2,1470,750,4.026774072552692,5.429869456294079e-05,0.0519802,0.0465479,0.959187,0.959191
9,13696,LH2,1470,750,4.026706674893238,8.970347989262949e-05,0.0588835,0.0527743,0.953898,0.953902
9,13697,LH2,1470,750,4.0267598614285705,5.023284409367043e-05,0.044433,0.0397992,0.951685,0.951688
9,13719,LH2,1470,750,4.026851314621212,0.0002337271887553,0.0615123,0.0551724,0.937511,0.937516
9,13720,LH2,1470,750,4.026897978436364,0.0001277873527149,0.0345668,0.0309702,0.932613,0.932619
9,13730,LH2,1470,750,4.027039485263774,0.0001612818727617,0.0974724,0.0873423,0.948005,0.948009
9,13747,LH2,1470,750,4.026689251736841,0.0005671795930659,0.100129,0.0897387,0.961023,0.961028
9,13768,LH2,1470,750,4.0266568667647045,0.0006685706496136,0.0573587,0.0514135,0.970173,0.970178
9,13769,LH2,1470,750,4.02670509654717,0.0006237730315136,0.054785,0.0491025,0.970506,0.970509
9,13795,LH2,1470,750,4.026921507142856,0.0003339354006559,0.0532638,0.0476982,0.943952,0.943955
9,13796,LH2,1470,750,4.026961865265823,0.0002321877006304,0.0546989,0.0490025,0.96376,0.963763
