runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13060,0.0492809,0.0441717,0.975747,0.973199
13061,0.0498377,0.0446735,0.97628,0.973333
13062,0.0515543,0.0462391,0.975501,0.97262
13063,0.0542744,0.0486673,0.975714,0.973176
13305,0.0260488,0.0233874,0.96874,0.968744
13306,0.0314829,0.028247,0.964929,0.964934
13307,0.0313908,0.0281883,0.96207,0.962075
13308,0.0333889,0.0299594,0.960734,0.960739
13309,0.0312104,0.0280194,0.958522,0.958526
13314,0.0304867,0.0273605,0.952214,0.952218
13315,0.00953589,0.00857957,0.950716,0.950719
13316,0.00322242,0.00291916,0.958323,0.958326
13317,0.0347498,0.0311946,0.949406,0.949409
13318,0.0361253,0.0324308,0.944563,0.944567
13319,0.0309756,0.0278241,0.943936,0.94394
13322,0.0288864,0.0259413,0.954883,0.954887
13323,0.0320116,0.0287459,0.954987,0.95499
13324,0.0271969,0.0244182,0.954175,0.95418
13325,0.0310328,0.0274813,0.955822,0.955827
13342,0.0122541,0.0109945,0.958575,0.958579
13344,0.0186044,0.0167084,0.955458,0.955462
13353,0.014167,0.0127035,0.845579,0.845585
13357,0.0459102,0.0411826,0.962201,0.962205
13358,0.0418065,0.0374948,0.961543,0.961547
13359,0.041205,0.0369504,0.962626,0.96263
13360,0.0497609,0.0446254,0.963299,0.963303
13361,0.0492888,0.0442051,0.964477,0.964481
13362,0.0377395,0.03385,0.964956,0.964961
13363,0.0431363,0.038716,0.966226,0.966229
13364,0.0432112,0.0384291,0.964303,0.964306
13368,0.0359539,0.0322539,0.958068,0.958071
13369,0.0426745,0.0382812,0.956959,0.956964
13370,0.0356933,0.0320141,0.95587,0.955875
13371,0.0178029,0.0160376,0.955725,0.955728
13372,0.0405309,0.0363842,0.962144,0.962148
13373,0.0308009,0.027633,0.961063,0.961065
13381,0.0414495,0.0371581,0.969248,0.969251
13382,0.0413373,0.0370806,0.969524,0.969527
13384,0.0412413,0.0369961,0.968988,0.968991
13385,0.0440166,0.0394705,0.969066,0.96907
13387,0.0415919,0.0373004,0.966871,0.966875
13388,0.042664,0.0379763,0.966036,0.966041
13389,0.020593,0.0181057,0.965866,0.96587
